twp_student_id,twp_program_id,payment_date,payment_amount3182,,2021-10-19,2681.48
3182,,2022-02-18,2025.17
3185,,2018-01-15,3195.22
3185,,2018-08-15,3988.46
3186,,2018-01-15,2326.89
3187,,﻿2017-10-01,950.4
3187,,2018-01-15,1501.95
3187,,2018-08-15,1011
3187,,2018-12-31,1932.21
3187,,2019-03-29,2605.24
3187,,2019-11-29,1466.22
3187,,2020-02-01,1224.55
3187,,2020-06-12,725
3187,,2020-10-30,1670.42
3187,,2021-02-15,2061.94
3187,,2021-06-22,1741.51
3187,,2021-10-19,615.61
3188,,2018-08-15,441.51
3189,,﻿2017-10-01,2320.61
3189,,2018-08-15,2523.2
3189,,2018-12-31,2581.2
3189,,2019-03-29,2525.1
3189,,2019-11-29,2399.34
3189,,2020-02-01,2347
3191,,2020-06-12,758
3191,,2021-02-15,1112.32
3193,,2018-01-15,2957.55
3193,,2018-12-31,2320.07
3193,,2019-03-29,1553.35
3193,,2019-07-15,1129.84
3193,,2019-11-29,1150.59
3193,,2021-10-19,1338.3
3193,,2022-02-18,744.19
3194,,﻿2017-10-01,1787.9
3194,,2018-01-15,1832.85
3194,,2018-08-15,1372.88
3194,,2018-12-31,1488.06
3194,,2019-03-29,1771.32
3194,,2019-11-29,2083.67
3194,,2020-02-01,1443.73
3194,,2020-06-12,454
3194,,2020-10-30,2146.34
3194,,2021-02-15,1273.38
3195,,﻿2017-10-01,3504.15
3195,,2018-01-15,4076
3195,,2020-02-01,3429
3196,,﻿2017-10-01,2193.87
3196,,2018-01-15,2152
3196,,2018-08-15,627
3196,,2018-12-31,1742
3196,,2019-07-15,1591.26
3197,,﻿2017-10-01,2970.24
3197,,2018-01-15,3011
3198,,﻿2017-10-01,942.12
3198,,2018-01-15,1594.7
3198,,2018-12-31,1034
3198,,2019-03-29,1236
3198,,2019-11-29,1305.46
3198,,2020-02-01,1614
3198,,2020-06-12,453
3199,,2019-03-29,3274.74
3199,,2019-07-15,3662.75
3199,,2019-11-29,2885.25
3199,,2020-02-01,3664.49
3200,,﻿2017-10-01,1918.11
3202,,﻿2017-10-01,1957.72
3202,,2018-01-15,2047.4
3202,,2018-08-15,1720.16
3202,,2018-12-31,1614.91
3202,,2019-03-29,441.16
3202,,2019-07-15,1258.91
3203,,﻿2017-10-01,2062
3203,,2018-01-15,1572
3203,,2018-08-15,1850
3203,,2018-12-31,1033
3204,,﻿2017-10-01,1548.6
3204,,2021-02-15,2009.93
3206,,﻿2017-10-01,1398.72
3206,,2018-01-15,573.56
3206,,2019-03-29,549.62
3206,,2019-07-15,0
3206,,2019-11-29,1902.17
3206,,2020-02-01,1701.32
3206,,2020-06-12,1133.47
3206,,2020-10-30,2924.79
3206,,2021-02-15,1778.76
3206,,2021-06-22,1023.08
3206,,2021-10-19,1971.58
3206,,2022-02-18,1770.73
3208,,2021-02-15,2204
